URI|PROPERTY|ENGLISH LABEL|TRANSLATION|POSTPROCESSING (RULES)
http://snomed.info/id/10003008|http://www.w3.org/2004/02/skos/core#prefLabel|Non-specific|non spécifique|non-spécifique
http://snomed.info/id/10003008|http://www.w3.org/2004/02/skos/core#altLabel|Non-specified|non précisé|non-précisé
http://snomed.info/id/10003008|http://www.w3.org/2004/02/skos/core#altLabel|Unspecified|non précisé|non-précisé
http://snomed.info/id/1002252007|http://www.w3.org/2004/02/skos/core#prefLabel|Gas for insufflation|gaz pour insufflation|gaz pour insufflation
http://snomed.info/id/1002252007|http://www.w3.org/2004/02/skos/core#altLabel|Conventional release gas for insufflation|gaz de libération conventionnelle pour insufflation|gaz de libération conventionnelle pour insufflation
http://snomed.info/id/10027005|http://www.w3.org/2004/02/skos/core#prefLabel|Patchy|patchy|patchy
http://snomed.info/id/10027005|http://www.w3.org/2004/02/skos/core#altLabel|Spotty|spotty|spotty
http://snomed.info/id/1004164008|http://www.w3.org/2004/02/skos/core#prefLabel|Lavender color|couleur lavande|couleur lavande
http://snomed.info/id/1004164008|http://www.w3.org/2004/02/skos/core#prefLabel|Lavender colour|couleur lavande|couleur lavande
http://snomed.info/id/1004165009|http://www.w3.org/2004/02/skos/core#prefLabel|Pale pink color|coloration rose pâle|coloration rose pâle
http://snomed.info/id/1004165009|http://www.w3.org/2004/02/skos/core#prefLabel|Pale pink colour|couleur rose pâle|couleur rose pâle
http://snomed.info/id/1004165009|http://www.w3.org/2004/02/skos/core#altLabel|Pale pink|pale rose|pale rose
http://snomed.info/id/1010220007|http://www.w3.org/2004/02/skos/core#prefLabel|Insecticide therapeutic role|rôle thérapeutique des insecticides|rôle thérapeutique des insecticides
http://snomed.info/id/1010435006|http://www.w3.org/2004/02/skos/core#prefLabel|Sex hormone|hormone sexuelle|hormone sexuelle
http://snomed.info/id/1010562001|http://www.w3.org/2004/02/skos/core#prefLabel|Scabicide therapeutic role|rôle thérapeutique du scabicide.|rôle thérapeutique du scabicide
http://snomed.info/id/1010690008|http://www.w3.org/2004/02/skos/core#prefLabel|Insufflate|insufflé|insufflé
http://snomed.info/id/10179008|http://www.w3.org/2004/02/skos/core#prefLabel|Invasive|invasif|invasif
http://snomed.info/id/102281001|http://www.w3.org/2004/02/skos/core#prefLabel|Dumbbell shape|en forme d'haltère|en forme d'haltère
