URI|PROPERTY|ENGLISH
http://snomed.info/id/10206005|http://www.w3.org/2004/02/skos/core#prefLabel|Hospital-based outpatient dental clinic
http://snomed.info/id/10206005|http://www.w3.org/2004/02/skos/core#altLabel|Hospital-based outpatient dental health clinic
http://snomed.info/id/10531005|http://www.w3.org/2004/02/skos/core#prefLabel|Free-standing ambulatory surgery facility
http://snomed.info/id/108343000|http://www.w3.org/2004/02/skos/core#prefLabel|Hospital AND/OR institution
http://snomed.info/id/108344006|http://www.w3.org/2004/02/skos/core#prefLabel|Nursing home AND/OR ambulatory care site
http://snomed.info/id/111059006|http://www.w3.org/2004/02/skos/core#prefLabel|Swamp
http://snomed.info/id/111059006|http://www.w3.org/2004/02/skos/core#altLabel|Marsh - place
http://snomed.info/id/11119007|http://www.w3.org/2004/02/skos/core#prefLabel|Free-standing peripheral vascular clinic
http://snomed.info/id/113172002|http://www.w3.org/2004/02/skos/core#prefLabel|Free-standing oncology clinic
http://snomed.info/id/113173007|http://www.w3.org/2004/02/skos/core#prefLabel|Domiciliary
http://snomed.info/id/11424001|http://www.w3.org/2004/02/skos/core#prefLabel|Ambulance-based care
http://snomed.info/id/1157114001|http://www.w3.org/2004/02/skos/core#prefLabel|Neuropacemaker clinic
http://snomed.info/id/1157116004|http://www.w3.org/2004/02/skos/core#prefLabel|Cardiac pacemaker clinic
http://snomed.info/id/1157121001|http://www.w3.org/2004/02/skos/core#prefLabel|Diaphragm pacemaker clinic
http://snomed.info/id/1157122008|http://www.w3.org/2004/02/skos/core#prefLabel|Gastric pacemaker clinic
http://snomed.info/id/1163582002|http://www.w3.org/2004/02/skos/core#prefLabel|COVID-19 testing site
http://snomed.info/id/1179644005|http://www.w3.org/2004/02/skos/core#prefLabel|Residential home for disabled people
http://snomed.info/id/1186916004|http://www.w3.org/2004/02/skos/core#prefLabel|Intellectual disability psychiatry department
http://snomed.info/id/1186938002|http://www.w3.org/2004/02/skos/core#prefLabel|Belarus
http://snomed.info/id/1186987000|http://www.w3.org/2004/02/skos/core#prefLabel|British Indian Ocean Territory
http://snomed.info/id/1187075004|http://www.w3.org/2004/02/skos/core#prefLabel|Russian Federation
http://snomed.info/id/1187075004|http://www.w3.org/2004/02/skos/core#altLabel|Russia
http://snomed.info/id/1187143004|http://www.w3.org/2004/02/skos/core#prefLabel|South Sudan
http://snomed.info/id/1187196008|http://www.w3.org/2004/02/skos/core#prefLabel|Saint Pierre and Miquelon
http://snomed.info/id/1187206009|http://www.w3.org/2004/02/skos/core#prefLabel|Cayman Islands
http://snomed.info/id/1187207000|http://www.w3.org/2004/02/skos/core#prefLabel|Christmas Island
http://snomed.info/id/1187208005|http://www.w3.org/2004/02/skos/core#prefLabel|Cocos Keeling Islands
http://snomed.info/id/1187208005|http://www.w3.org/2004/02/skos/core#altLabel|Cocos Islands
http://snomed.info/id/1187241008|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of French Polynesia
http://snomed.info/id/1187300001|http://www.w3.org/2004/02/skos/core#prefLabel|Islands of Australia
http://snomed.info/id/1187301002|http://www.w3.org/2004/02/skos/core#prefLabel|Norfolk Island
http://snomed.info/id/1187357006|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of British Virgin Islands
http://snomed.info/id/1187456001|http://www.w3.org/2004/02/skos/core#prefLabel|Virgin Islands, British
http://snomed.info/id/1187456001|http://www.w3.org/2004/02/skos/core#altLabel|Virgin Islands
http://snomed.info/id/1187492002|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of Territory of Norfolk Island
http://snomed.info/id/1187493007|http://www.w3.org/2004/02/skos/core#prefLabel|Territory of Norfolk Island
http://snomed.info/id/1187499006|http://www.w3.org/2004/02/skos/core#prefLabel|Guadeloupe
http://snomed.info/id/1187500002|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of Guadeloupe
http://snomed.info/id/1187646006|http://www.w3.org/2004/02/skos/core#prefLabel|South Sandwich Islands
http://snomed.info/id/1187647002|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of South Georgia and South Sandwich Islands
http://snomed.info/id/1193498001|http://www.w3.org/2004/02/skos/core#prefLabel|Greenland
http://snomed.info/id/1193539009|http://www.w3.org/2004/02/skos/core#prefLabel|South Georgia and South Sandwich Islands
http://snomed.info/id/1193540006|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of United States Virgin Islands
http://snomed.info/id/1193540006|http://www.w3.org/2004/02/skos/core#altLabel|Island in region of US Virgin Islands
http://snomed.info/id/1193541005|http://www.w3.org/2004/02/skos/core#prefLabel|United States Virgin Islands
http://snomed.info/id/1193541005|http://www.w3.org/2004/02/skos/core#altLabel|US Virgin Islands
http://snomed.info/id/1193625000|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of American Samoa
http://snomed.info/id/1193626004|http://www.w3.org/2004/02/skos/core#prefLabel|American Samoa
http://snomed.info/id/1193627008|http://www.w3.org/2004/02/skos/core#prefLabel|Bonaire, Sint Eustatius and Saba
http://snomed.info/id/1193628003|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of Bonaire, Sint Eustatius and Saba
http://snomed.info/id/1193630001|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of Wallis and Futuna
http://snomed.info/id/1193631002|http://www.w3.org/2004/02/skos/core#prefLabel|Bouvet Island
http://snomed.info/id/1193632009|http://www.w3.org/2004/02/skos/core#prefLabel|Cabo Verde
http://snomed.info/id/1193633004|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of Cabo Verde
http://snomed.info/id/1193794003|http://www.w3.org/2004/02/skos/core#prefLabel|Holy See
http://snomed.info/id/1204477007|http://www.w3.org/2004/02/skos/core#prefLabel|Wallis
http://snomed.info/id/1204478002|http://www.w3.org/2004/02/skos/core#prefLabel|Futuna
http://snomed.info/id/1204479005|http://www.w3.org/2004/02/skos/core#prefLabel|French Southern Territories
http://snomed.info/id/1204481007|http://www.w3.org/2004/02/skos/core#prefLabel|Saint Helena, Ascension and Tristan da Cunha
http://snomed.info/id/1204482000|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of Turks and Caicos Islands
http://snomed.info/id/1204483005|http://www.w3.org/2004/02/skos/core#prefLabel|Turks and Caicos Islands
http://snomed.info/id/1204484004|http://www.w3.org/2004/02/skos/core#prefLabel|Pitcairn, Henderson, Ducie and Oeno Islands
http://snomed.info/id/1204485003|http://www.w3.org/2004/02/skos/core#prefLabel|Island in region of Pitcairn, Henderson, Ducie and Oeno Islands
http://snomed.info/id/1204486002|http://www.w3.org/2004/02/skos/core#prefLabel|Pitcairn
http://snomed.info/id/1204488001|http://www.w3.org/2004/02/skos/core#prefLabel|Faroe Islands
http://snomed.info/id/1204489009|http://www.w3.org/2004/02/skos/core#prefLabel|Northern Mariana Islands
http://snomed.info/id/1204490000|http://www.w3.org/2004/02/skos/core#prefLabel|United States Minor Outlying Islands
http://snomed.info/id/1204491001|http://www.w3.org/2004/02/skos/core#prefLabel|Aland Islands
http://snomed.info/id/1204492008|http://www.w3.org/2004/02/skos/core#prefLabel|Cook Islands
http://snomed.info/id/1204493003|http://www.w3.org/2004/02/skos/core#prefLabel|Macao
http://snomed.info/id/1204493003|http://www.w3.org/2004/02/skos/core#altLabel|Macau
http://snomed.info/id/1204494009|http://www.w3.org/2004/02/skos/core#prefLabel|Niue
http://snomed.info/id/1204495005|http://www.w3.org/2004/02/skos/core#prefLabel|Tokelau
http://snomed.info/id/1208369000|http://www.w3.org/2004/02/skos/core#prefLabel|Yemen
http://snomed.info/id/1208370004|http://www.w3.org/2004/02/skos/core#prefLabel|Heard Island and McDonald Islands
http://snomed.info/id/1208371000|http://www.w3.org/2004/02/skos/core#prefLabel|Svalbard and Jan Mayen
http://snomed.info/id/1208372007|http://www.w3.org/2004/02/skos/core#prefLabel|Western Sahara
http://snomed.info/id/1208405007|http://www.w3.org/2004/02/skos/core#prefLabel|Grand Turk
http://snomed.info/id/13015006|http://www.w3.org/2004/02/skos/core#prefLabel|Free-standing gastroenterology clinic
http://snomed.info/id/1348009|http://www.w3.org/2004/02/skos/core#prefLabel|Day care center
http://snomed.info/id/13656005|http://www.w3.org/2004/02/skos/core#altLabel|Free-standing physiatry clinic
http://snomed.info/id/14866005|http://www.w3.org/2004/02/skos/core#prefLabel|Hospital-based outpatient mental health clinic
http://snomed.info/id/14866005|http://www.w3.org/2004/02/skos/core#altLabel|Hospital-based outpatient psychiatric clinic
http://snomed.info/id/1526002|http://www.w3.org/2004/02/skos/core#prefLabel|Free-standing breast clinic
http://snomed.info/id/15496002|http://www.w3.org/2004/02/skos/core#prefLabel|Public swimming pool
http://snomed.info/id/160709000|http://www.w3.org/2004/02/skos/core#prefLabel|Ground floor flat
http://snomed.info/id/160709000|http://www.w3.org/2004/02/skos/core#altLabel|GFF - Ground floor flat
http://snomed.info/id/160710005|http://www.w3.org/2004/02/skos/core#prefLabel|Lower floor flat
http://snomed.info/id/160711009|http://www.w3.org/2004/02/skos/core#prefLabel|Upper floor flat
http://snomed.info/id/160733006|http://www.w3.org/2004/02/skos/core#prefLabel|Nursing or other home
http://snomed.info/id/161116001|http://www.w3.org/2004/02/skos/core#prefLabel|Pre-school
http://snomed.info/id/161119008|http://www.w3.org/2004/02/skos/core#prefLabel|Primary school
http://snomed.info/id/161119008|http://www.w3.org/2004/02/skos/core#altLabel|First school
http://snomed.info/id/161120002|http://www.w3.org/2004/02/skos/core#prefLabel|Secondary school
http://snomed.info/id/161123000|http://www.w3.org/2004/02/skos/core#prefLabel|Approved school
http://snomed.info/id/161124006|http://www.w3.org/2004/02/skos/core#prefLabel|Boarding school
http://snomed.info/id/16384001|http://www.w3.org/2004/02/skos/core#prefLabel|Skilled nursing facility, level 2 care
http://snomed.info/id/16597003|http://www.w3.org/2004/02/skos/core#prefLabel|Free-standing ophthalmology clinic
http://snomed.info/id/16597003|http://www.w3.org/2004/02/skos/core#altLabel|Free-standing eye clinic
http://snomed.info/id/16879004|http://www.w3.org/2004/02/skos/core#prefLabel|Free-standing neurology clinic
http://snomed.info/id/1773006|http://www.w3.org/2004/02/skos/core#prefLabel|Free-standing radiology facility
http://snomed.info/id/18095007|http://www.w3.org/2004/02/skos/core#prefLabel|Intermediate care hospital for mentally retarded
