uri|property|term|subhierarchy
http://snomed.info/id/10003008|http://www.w3.org/2004/02/skos/core#prefLabel|Non-specific|Descriptor
http://snomed.info/id/10003008|http://www.w3.org/2004/02/skos/core#altLabel|Non-specified|Descriptor
http://snomed.info/id/10003008|http://www.w3.org/2004/02/skos/core#altLabel|Unspecified|Descriptor
http://snomed.info/id/1002252007|http://www.w3.org/2004/02/skos/core#prefLabel|Gas for insufflation|Pharmaceutical dose form
http://snomed.info/id/1002252007|http://www.w3.org/2004/02/skos/core#altLabel|Conventional release gas for insufflation|Pharmaceutical dose form
http://snomed.info/id/10027005|http://www.w3.org/2004/02/skos/core#prefLabel|Patchy|Descriptor + Special atomic mapping values
http://snomed.info/id/10027005|http://www.w3.org/2004/02/skos/core#altLabel|Spotty|Descriptor + Special atomic mapping values
http://snomed.info/id/1004164008|http://www.w3.org/2004/02/skos/core#prefLabel|Lavender color|Descriptor
http://snomed.info/id/1004164008|http://www.w3.org/2004/02/skos/core#prefLabel|Lavender colour|Descriptor
http://snomed.info/id/1004165009|http://www.w3.org/2004/02/skos/core#prefLabel|Pale pink color|Descriptor
http://snomed.info/id/1004165009|http://www.w3.org/2004/02/skos/core#prefLabel|Pale pink colour|Descriptor
http://snomed.info/id/1004165009|http://www.w3.org/2004/02/skos/core#altLabel|Pale pink|Descriptor
http://snomed.info/id/1010220007|http://www.w3.org/2004/02/skos/core#prefLabel|Insecticide therapeutic role|Role
http://snomed.info/id/1010435006|http://www.w3.org/2004/02/skos/core#prefLabel|Sex hormone|Disposition
http://snomed.info/id/1010562001|http://www.w3.org/2004/02/skos/core#prefLabel|Scabicide therapeutic role|Role
http://snomed.info/id/1010690008|http://www.w3.org/2004/02/skos/core#prefLabel|Insufflate|Dose form administration method
http://snomed.info/id/10179008|http://www.w3.org/2004/02/skos/core#prefLabel|Invasive|Descriptor
http://snomed.info/id/102281001|http://www.w3.org/2004/02/skos/core#prefLabel|Dumbbell shape|Descriptor
http://snomed.info/id/102343009|http://www.w3.org/2004/02/skos/core#prefLabel|Bullet caliber|Property
http://snomed.info/id/102343009|http://www.w3.org/2004/02/skos/core#prefLabel|Bullet calibre|Property
http://snomed.info/id/102369003|http://www.w3.org/2004/02/skos/core#prefLabel|Shot size|Descriptor
http://snomed.info/id/102369003|http://www.w3.org/2004/02/skos/core#altLabel|Pellet size|Descriptor
http://snomed.info/id/102369003|http://www.w3.org/2004/02/skos/core#altLabel|Shot size, device|Descriptor
http://snomed.info/id/102378009|http://www.w3.org/2004/02/skos/core#prefLabel|BB shot|Descriptor
http://snomed.info/id/102378009|http://www.w3.org/2004/02/skos/core#altLabel|.180 inch shot|Descriptor
http://snomed.info/id/102378009|http://www.w3.org/2004/02/skos/core#altLabel|BB shot, device|Descriptor
http://snomed.info/id/102393008|http://www.w3.org/2004/02/skos/core#prefLabel|Snowboarding|Sport
http://snomed.info/id/102394002|http://www.w3.org/2004/02/skos/core#prefLabel|Spelunking|Sport
http://snomed.info/id/102395001|http://www.w3.org/2004/02/skos/core#prefLabel|Paragliding|Sport
http://snomed.info/id/102395001|http://www.w3.org/2004/02/skos/core#altLabel|Engaged in parasailing|Sport
http://snomed.info/id/102396000|http://www.w3.org/2004/02/skos/core#prefLabel|Bungee jumping|Sport
http://snomed.info/id/102397009|http://www.w3.org/2004/02/skos/core#prefLabel|Pleasure boating|Sport
http://snomed.info/id/102398004|http://www.w3.org/2004/02/skos/core#prefLabel|Motor boating|Sport
http://snomed.info/id/102399007|http://www.w3.org/2004/02/skos/core#prefLabel|Canoeing|Sport
http://snomed.info/id/102400000|http://www.w3.org/2004/02/skos/core#prefLabel|Sailing|Sport
http://snomed.info/id/102401001|http://www.w3.org/2004/02/skos/core#prefLabel|White water rafting|Sport
http://snomed.info/id/10263000|http://www.w3.org/2004/02/skos/core#prefLabel|Otologic|Descriptor
http://snomed.info/id/10263000|http://www.w3.org/2004/02/skos/core#altLabel|Otological|Descriptor
http://snomed.info/id/103306004|http://www.w3.org/2004/02/skos/core#prefLabel|Contraindication to|General information qualifier
http://snomed.info/id/103306004|http://www.w3.org/2004/02/skos/core#altLabel|Contraindication to (contextual qualifier)|General information qualifier
http://snomed.info/id/103306004|http://www.w3.org/2004/02/skos/core#altLabel|With contraindication|General information qualifier
http://snomed.info/id/103307008|http://www.w3.org/2004/02/skos/core#prefLabel|Patient concerned|General information qualifier
http://snomed.info/id/103307008|http://www.w3.org/2004/02/skos/core#altLabel|Patient concerned (contextual qualifier)|General information qualifier
http://snomed.info/id/103307008|http://www.w3.org/2004/02/skos/core#altLabel|Patient concerned by|General information qualifier
http://snomed.info/id/103308003|http://www.w3.org/2004/02/skos/core#prefLabel|Patient not concerned|General information qualifier
http://snomed.info/id/103308003|http://www.w3.org/2004/02/skos/core#altLabel|Patient not concerned (contextual qualifier)|General information qualifier
