uri|property|term
http://snomed.info/id/10027005|http://www.w3.org/2004/02/skos/core#prefLabel|parcellaire
http://snomed.info/id/102343009|http://www.w3.org/2004/02/skos/core#prefLabel|calibre de la balle
http://snomed.info/id/102369003|http://www.w3.org/2004/02/skos/core#prefLabel|grosseur du plomb
http://snomed.info/id/102393008|http://www.w3.org/2004/02/skos/core#prefLabel|planche à neige
http://snomed.info/id/102394002|http://www.w3.org/2004/02/skos/core#prefLabel|spéléologie
http://snomed.info/id/102397009|http://www.w3.org/2004/02/skos/core#prefLabel|navigation de plaisance
http://snomed.info/id/102399007|http://www.w3.org/2004/02/skos/core#prefLabel|canotage
http://snomed.info/id/103306004|http://www.w3.org/2004/02/skos/core#prefLabel|contre-indication à
http://snomed.info/id/103307008|http://www.w3.org/2004/02/skos/core#prefLabel|patient préoccupé
http://snomed.info/id/103308003|http://www.w3.org/2004/02/skos/core#prefLabel|patient non préoccupé
http://snomed.info/id/103309006|http://www.w3.org/2004/02/skos/core#prefLabel|patient touché
http://snomed.info/id/103310001|http://www.w3.org/2004/02/skos/core#prefLabel|patient non touché
http://snomed.info/id/103311002|http://www.w3.org/2004/02/skos/core#prefLabel|patient avisé de
http://snomed.info/id/103312009|http://www.w3.org/2004/02/skos/core#prefLabel|patient non avisé de
http://snomed.info/id/103313004|http://www.w3.org/2004/02/skos/core#prefLabel|patient informé
http://snomed.info/id/103314005|http://www.w3.org/2004/02/skos/core#prefLabel|patient non informé
http://snomed.info/id/103315006|http://www.w3.org/2004/02/skos/core#prefLabel|action du patient requise
http://snomed.info/id/103316007|http://www.w3.org/2004/02/skos/core#prefLabel|action du patient non requise
http://snomed.info/id/103317003|http://www.w3.org/2004/02/skos/core#prefLabel|patient soupçonné de
http://snomed.info/id/103318008|http://www.w3.org/2004/02/skos/core#prefLabel|patient non soupçonné de
http://snomed.info/id/103319000|http://www.w3.org/2004/02/skos/core#prefLabel|performance du patient
http://snomed.info/id/103320006|http://www.w3.org/2004/02/skos/core#prefLabel|demande
http://snomed.info/id/103321005|http://www.w3.org/2004/02/skos/core#prefLabel|demande par un médecin
http://snomed.info/id/103322003|http://www.w3.org/2004/02/skos/core#prefLabel|demande d'un tiers au nom du patient
http://snomed.info/id/103323008|http://www.w3.org/2004/02/skos/core#prefLabel|demande d'un travailleur de la santé
http://snomed.info/id/103324002|http://www.w3.org/2004/02/skos/core#prefLabel|consultation pour cause de
http://snomed.info/id/103325001|http://www.w3.org/2004/02/skos/core#prefLabel|besoin du patient
http://snomed.info/id/103325001|http://www.w3.org/2004/02/skos/core#altLabel|besoin du/de la patient(e)
http://snomed.info/id/103326000|http://www.w3.org/2004/02/skos/core#prefLabel|dépendance du patient à
http://snomed.info/id/103327009|http://www.w3.org/2004/02/skos/core#prefLabel|patient en attente de
http://snomed.info/id/103328004|http://www.w3.org/2004/02/skos/core#prefLabel|disponibilité de
http://snomed.info/id/103329007|http://www.w3.org/2004/02/skos/core#prefLabel|non-disponibilité de
http://snomed.info/id/103330002|http://www.w3.org/2004/02/skos/core#prefLabel|pas de diagnostic
http://snomed.info/id/103332005|http://www.w3.org/2004/02/skos/core#prefLabel|conséquence de
http://snomed.info/id/103333000|http://www.w3.org/2004/02/skos/core#prefLabel|avec le temps
http://snomed.info/id/103334006|http://www.w3.org/2004/02/skos/core#prefLabel|temps de retard
http://snomed.info/id/103336008|http://www.w3.org/2004/02/skos/core#prefLabel|pas de mention de rémission
http://snomed.info/id/103337004|http://www.w3.org/2004/02/skos/core#prefLabel|en rémission partielle
http://snomed.info/id/103338009|http://www.w3.org/2004/02/skos/core#prefLabel|en rémission complète
http://snomed.info/id/103345009|http://www.w3.org/2004/02/skos/core#prefLabel|transthécal
http://snomed.info/id/103346005|http://www.w3.org/2004/02/skos/core#prefLabel|transsplénique
http://snomed.info/id/103347001|http://www.w3.org/2004/02/skos/core#prefLabel|transrénal
http://snomed.info/id/103348006|http://www.w3.org/2004/02/skos/core#prefLabel|transpleural
http://snomed.info/id/103349003|http://www.w3.org/2004/02/skos/core#prefLabel|transpancréatique
http://snomed.info/id/103354007|http://www.w3.org/2004/02/skos/core#prefLabel|transmural
http://snomed.info/id/103358005|http://www.w3.org/2004/02/skos/core#prefLabel|vitreux
http://snomed.info/id/103360007|http://www.w3.org/2004/02/skos/core#prefLabel|complexe
http://snomed.info/id/103361006|http://www.w3.org/2004/02/skos/core#prefLabel|instable
http://snomed.info/id/103379005|http://www.w3.org/2004/02/skos/core#prefLabel|voie pour une intervention
http://snomed.info/id/103380008|http://www.w3.org/2004/02/skos/core#prefLabel|voie translombale
http://snomed.info/id/103381007|http://www.w3.org/2004/02/skos/core#prefLabel|voie transhépatique
http://snomed.info/id/103388001|http://www.w3.org/2004/02/skos/core#prefLabel|par voie percutanée
http://snomed.info/id/103390000|http://www.w3.org/2004/02/skos/core#prefLabel|programmé
http://snomed.info/id/103391001|http://www.w3.org/2004/02/skos/core#prefLabel|urgent
http://snomed.info/id/103392008|http://www.w3.org/2004/02/skos/core#prefLabel|semi-quantitatif
http://snomed.info/id/103393003|http://www.w3.org/2004/02/skos/core#prefLabel|lié à des protéines
http://snomed.info/id/103394009|http://www.w3.org/2004/02/skos/core#prefLabel|non lié à des protéines
http://snomed.info/id/103395005|http://www.w3.org/2004/02/skos/core#prefLabel|conjugué
http://snomed.info/id/103396006|http://www.w3.org/2004/02/skos/core#prefLabel|non conjugué
http://snomed.info/id/103397002|http://www.w3.org/2004/02/skos/core#prefLabel|fraction libre de
http://snomed.info/id/103398007|http://www.w3.org/2004/02/skos/core#prefLabel|fractions de
http://snomed.info/id/103399004|http://www.w3.org/2004/02/skos/core#prefLabel|total (toutes les fractions de)
http://snomed.info/id/103400006|http://www.w3.org/2004/02/skos/core#prefLabel|degré de saturation de
http://snomed.info/id/103401005|http://www.w3.org/2004/02/skos/core#prefLabel|saturé
http://snomed.info/id/103402003|http://www.w3.org/2004/02/skos/core#prefLabel|insaturé
http://snomed.info/id/103403008|http://www.w3.org/2004/02/skos/core#prefLabel|type de greffe
http://snomed.info/id/103404002|http://www.w3.org/2004/02/skos/core#prefLabel|greffe orthotopique
http://snomed.info/id/103405001|http://www.w3.org/2004/02/skos/core#prefLabel|greffe hétérotopique
http://snomed.info/id/103422004|http://www.w3.org/2004/02/skos/core#prefLabel|origine lymphocytaire NK
http://snomed.info/id/10496000|http://www.w3.org/2004/02/skos/core#prefLabel|camping
http://snomed.info/id/10547007|http://www.w3.org/2004/02/skos/core#prefLabel|voie auriculaire
http://snomed.info/id/105808006|http://www.w3.org/2004/02/skos/core#prefLabel|équipement et/ou risque professionnel spécifique
http://snomed.info/id/105904009|http://www.w3.org/2004/02/skos/core#prefLabel|type de préparation médicamenteuse
http://snomed.info/id/106227002|http://www.w3.org/2004/02/skos/core#prefLabel|attribut d'une information générale
http://snomed.info/id/106229004|http://www.w3.org/2004/02/skos/core#prefLabel|attribut du type de diagnostic
http://snomed.info/id/106230009|http://www.w3.org/2004/02/skos/core#prefLabel|attribut de la certitude du diagnostic
http://snomed.info/id/106231008|http://www.w3.org/2004/02/skos/core#prefLabel|attribut spécialisé d'une information
http://snomed.info/id/106232001|http://www.w3.org/2004/02/skos/core#prefLabel|modificateur adjectival
http://snomed.info/id/106233006|http://www.w3.org/2004/02/skos/core#prefLabel|modificateur topographique
http://snomed.info/id/106234000|http://www.w3.org/2004/02/skos/core#prefLabel|modificateur adjectival général
http://snomed.info/id/106235004|http://www.w3.org/2004/02/skos/core#prefLabel|modificateur en relation avec les sciences de base
http://snomed.info/id/106236003|http://www.w3.org/2004/02/skos/core#prefLabel|modificateur lié à une spécialité ou une profession clinique
http://snomed.info/id/106239005|http://www.w3.org/2004/02/skos/core#prefLabel|modificateur utilisé principalement pour une procédure
http://snomed.info/id/106240007|http://www.w3.org/2004/02/skos/core#prefLabel|stade clinique général pour les maladies et/ou les cancers
http://snomed.info/id/106253005|http://www.w3.org/2004/02/skos/core#prefLabel|grade histologique en regard de la différenciation et/ou du comportement biologique
http://snomed.info/id/107644003|http://www.w3.org/2004/02/skos/core#prefLabel|constatation à propos d'une forme
http://snomed.info/id/10828004|http://www.w3.org/2004/02/skos/core#prefLabel|positif
http://snomed.info/id/11046004|http://www.w3.org/2004/02/skos/core#prefLabel|ouvertures dans le plancher
http://snomed.info/id/11163003|http://www.w3.org/2004/02/skos/core#prefLabel|intact
http://snomed.info/id/11214006|http://www.w3.org/2004/02/skos/core#prefLabel|réactionnel
http://snomed.info/id/112189004|http://www.w3.org/2004/02/skos/core#prefLabel|système antigénique plaquettaire HPA-3
http://snomed.info/id/112235009|http://www.w3.org/2004/02/skos/core#prefLabel|à travers
http://snomed.info/id/112238006|http://www.w3.org/2004/02/skos/core#prefLabel|voie postérieure
http://snomed.info/id/112242009|http://www.w3.org/2004/02/skos/core#prefLabel|origine lymphocytaire T
http://snomed.info/id/115268005|http://www.w3.org/2004/02/skos/core#prefLabel|modificateurs d'analytes et de substances
http://snomed.info/id/115341008|http://www.w3.org/2004/02/skos/core#prefLabel|mesure totale
http://snomed.info/id/115468007|http://www.w3.org/2004/02/skos/core#prefLabel|fraction de
http://snomed.info/id/115470003|http://www.w3.org/2004/02/skos/core#prefLabel|biodisponible
http://snomed.info/id/115486005|http://www.w3.org/2004/02/skos/core#prefLabel|sous-unité alpha
http://snomed.info/id/115487001|http://www.w3.org/2004/02/skos/core#prefLabel|sous-unité bêta
http://snomed.info/id/115488006|http://www.w3.org/2004/02/skos/core#prefLabel|sous-unité gamma
http://snomed.info/id/115499008|http://www.w3.org/2004/02/skos/core#prefLabel|prédialyse
http://snomed.info/id/115500004|http://www.w3.org/2004/02/skos/core#prefLabel|postdialyse
http://snomed.info/id/115543007|http://www.w3.org/2004/02/skos/core#prefLabel|volatil
http://snomed.info/id/115670007|http://www.w3.org/2004/02/skos/core#prefLabel|système de classification
http://snomed.info/id/115671006|http://www.w3.org/2004/02/skos/core#prefLabel|système ou collection de groupe sanguin
http://snomed.info/id/115675002|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Hh
http://snomed.info/id/115676001|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Lewis
http://snomed.info/id/115677005|http://www.w3.org/2004/02/skos/core#prefLabel|collection antigénique i
http://snomed.info/id/115678000|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Rh
http://snomed.info/id/115679008|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin P
http://snomed.info/id/115680006|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Globoside
http://snomed.info/id/115681005|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Landsteiner-Wiener
http://snomed.info/id/115682003|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin MNS
http://snomed.info/id/115683008|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Luthéran
http://snomed.info/id/115684002|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Kidd
http://snomed.info/id/115685001|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Duffy
http://snomed.info/id/115686000|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Kell
http://snomed.info/id/115687009|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Kx
http://snomed.info/id/115688004|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Xg
http://snomed.info/id/115689007|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Diego
http://snomed.info/id/115690003|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Yt
http://snomed.info/id/115691004|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Scianna
http://snomed.info/id/115692006|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Dombrock
http://snomed.info/id/115693001|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Colton
http://snomed.info/id/115694007|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Indian
http://snomed.info/id/115695008|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Gerbich
http://snomed.info/id/115696009|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Cromer
http://snomed.info/id/115697000|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Chido et Rodgers
http://snomed.info/id/115698005|http://www.w3.org/2004/02/skos/core#prefLabel|système de groupe sanguin Knops
http://snomed.info/id/115699002|http://www.w3.org/2004/02/skos/core#prefLabel|collection antigénique Cost
http://snomed.info/id/115700001|http://www.w3.org/2004/02/skos/core#prefLabel|collection antigénique Er
http://snomed.info/id/11620002|http://www.w3.org/2004/02/skos/core#prefLabel|irréductible
http://snomed.info/id/117006002|http://www.w3.org/2004/02/skos/core#prefLabel|faiblement réactif
http://snomed.info/id/11723008|http://www.w3.org/2004/02/skos/core#prefLabel|contact avec
http://snomed.info/id/117362005|http://www.w3.org/2004/02/skos/core#prefLabel|valeur nominale
http://snomed.info/id/117363000|http://www.w3.org/2004/02/skos/core#prefLabel|valeur ordinale
http://snomed.info/id/117364006|http://www.w3.org/2004/02/skos/core#prefLabel|valeur narrative
http://snomed.info/id/117365007|http://www.w3.org/2004/02/skos/core#prefLabel|valeur ordinale ou quantitative
http://snomed.info/id/117444000|http://www.w3.org/2004/02/skos/core#prefLabel|valeur textuelle
http://snomed.info/id/118437007|http://www.w3.org/2004/02/skos/core#prefLabel|voie intrapelvienne
http://snomed.info/id/118520002|http://www.w3.org/2004/02/skos/core#prefLabel|taux numérique
http://snomed.info/id/118521003|http://www.w3.org/2004/02/skos/core#prefLabel|arbitraire
http://snomed.info/id/118522005|http://www.w3.org/2004/02/skos/core#prefLabel|identificateur
http://snomed.info/id/118523000|http://www.w3.org/2004/02/skos/core#prefLabel|activité catalytique
http://snomed.info/id/118524006|http://www.w3.org/2004/02/skos/core#prefLabel|concentration catalytique
http://snomed.info/id/118525007|http://www.w3.org/2004/02/skos/core#prefLabel|rapport de concentration catalytique
http://snomed.info/id/118526008|http://www.w3.org/2004/02/skos/core#prefLabel|contenu catalytique
http://snomed.info/id/118527004|http://www.w3.org/2004/02/skos/core#prefLabel|fraction catalytique
http://snomed.info/id/118528009|http://www.w3.org/2004/02/skos/core#prefLabel|taux catalytique
http://snomed.info/id/118529001|http://www.w3.org/2004/02/skos/core#prefLabel|rapport catalytique
http://snomed.info/id/118530006|http://www.w3.org/2004/02/skos/core#prefLabel|relatif à une entité
http://snomed.info/id/118531005|http://www.w3.org/2004/02/skos/core#prefLabel|nombre arbitraire d'entités
http://snomed.info/id/118532003|http://www.w3.org/2004/02/skos/core#prefLabel|quantité de substance de l'entité
http://snomed.info/id/118533008|http://www.w3.org/2004/02/skos/core#prefLabel|activité catalytique de l'entité
http://snomed.info/id/118534002|http://www.w3.org/2004/02/skos/core#prefLabel|longueur par entité
http://snomed.info/id/118535001|http://www.w3.org/2004/02/skos/core#prefLabel|masse par entité
http://snomed.info/id/118536000|http://www.w3.org/2004/02/skos/core#prefLabel|nombre d'entités
http://snomed.info/id/118537009|http://www.w3.org/2004/02/skos/core#prefLabel|volume par entité
http://snomed.info/id/118538004|http://www.w3.org/2004/02/skos/core#prefLabel|masse
http://snomed.info/id/118539007|http://www.w3.org/2004/02/skos/core#prefLabel|concentration massique
http://snomed.info/id/118540009|http://www.w3.org/2004/02/skos/core#prefLabel|rapport masse : concentration
http://snomed.info/id/118541008|http://www.w3.org/2004/02/skos/core#prefLabel|contenu massique
http://snomed.info/id/118542001|http://www.w3.org/2004/02/skos/core#prefLabel|fraction de masse
http://snomed.info/id/118543006|http://www.w3.org/2004/02/skos/core#prefLabel|accroissement d'une masse
http://snomed.info/id/118544000|http://www.w3.org/2004/02/skos/core#prefLabel|débit massique
http://snomed.info/id/118545004|http://www.w3.org/2004/02/skos/core#prefLabel|rapport massique
http://snomed.info/id/118546003|http://www.w3.org/2004/02/skos/core#prefLabel|concentration massique relative
http://snomed.info/id/118547007|http://www.w3.org/2004/02/skos/core#prefLabel|concentration massique seuil
