URI|SEP
http://snomed.info/id/10013000|SEP-S
http://snomed.info/id/10024003|SEP-S
http://snomed.info/id/10025002|SEP-S
http://snomed.info/id/10026001|SEP-S
http://snomed.info/id/1003544002|SEP-S
http://snomed.info/id/1003545001|SEP-E
http://snomed.info/id/10036009|SEP-S
http://snomed.info/id/1003609005|SEP-S
http://snomed.info/id/1003610000|SEP-E
http://snomed.info/id/1003618007|SEP-E
http://snomed.info/id/1003687005|SEP-S
http://snomed.info/id/1003688000|SEP-S
http://snomed.info/id/1003689008|SEP-S
http://snomed.info/id/1003690004|SEP-S
http://snomed.info/id/1003691000|SEP-S
http://snomed.info/id/1003692007|SEP-S
http://snomed.info/id/1003696005|SEP-E
http://snomed.info/id/1003697001|SEP-E
http://snomed.info/id/1003698006|SEP-E
http://snomed.info/id/1003699003|SEP-E
http://snomed.info/id/1004009002|SEP-E
http://snomed.info/id/1004010007|SEP-E
http://snomed.info/id/1004028009|SEP-S
http://snomed.info/id/1004029001|SEP-S
http://snomed.info/id/1004030006|SEP-S
http://snomed.info/id/1004031005|SEP-S
http://snomed.info/id/1004032003|SEP-E
http://snomed.info/id/1004033008|SEP-E
http://snomed.info/id/1004034002|SEP-E
http://snomed.info/id/1004035001|SEP-E
http://snomed.info/id/1004037009|SEP-S
http://snomed.info/id/1004038004|SEP-S
http://snomed.info/id/1004039007|SEP-S
http://snomed.info/id/1004040009|SEP-E
http://snomed.info/id/1004077001|SEP-S
http://snomed.info/id/1004078006|SEP-S
http://snomed.info/id/1004079003|SEP-E
http://snomed.info/id/1004080000|SEP-E
http://snomed.info/id/1004099009|SEP-S
http://snomed.info/id/1004100001|SEP-S
http://snomed.info/id/1004101002|SEP-S
http://snomed.info/id/1004102009|SEP-S
http://snomed.info/id/1004103004|SEP-E
http://snomed.info/id/1004104005|SEP-E
http://snomed.info/id/1004105006|SEP-E
http://snomed.info/id/1004106007|SEP-E
http://snomed.info/id/1004119006|SEP-S
http://snomed.info/id/1004120000|SEP-S
http://snomed.info/id/1004121001|SEP-S
http://snomed.info/id/1004122008|SEP-S
http://snomed.info/id/1004123003|SEP-E
http://snomed.info/id/1004124009|SEP-E
http://snomed.info/id/1004125005|SEP-E
http://snomed.info/id/1004126006|SEP-E
http://snomed.info/id/1004127002|SEP-S
http://snomed.info/id/1004128007|SEP-S
http://snomed.info/id/1004129004|SEP-S
http://snomed.info/id/1004130009|SEP-S
http://snomed.info/id/1004131008|SEP-E
http://snomed.info/id/1004132001|SEP-E
http://snomed.info/id/1004133006|SEP-E
http://snomed.info/id/1004134000|SEP-E
http://snomed.info/id/1004135004|SEP-S
http://snomed.info/id/1004136003|SEP-S
http://snomed.info/id/1004137007|SEP-S
http://snomed.info/id/1004138002|SEP-S
http://snomed.info/id/1004139005|SEP-E
http://snomed.info/id/1004140007|SEP-E
http://snomed.info/id/1004141006|SEP-E
http://snomed.info/id/1004142004|SEP-E
http://snomed.info/id/10042008|SEP-S
http://snomed.info/id/10047002|SEP-S
http://snomed.info/id/1005009|SEP-E
http://snomed.info/id/10052007|SEP-S
http://snomed.info/id/10056005|SEP-S
http://snomed.info/id/10062000|SEP-S
http://snomed.info/id/1010272002|SEP-S
http://snomed.info/id/1010273007|SEP-S
http://snomed.info/id/1010274001|SEP-S
http://snomed.info/id/1010275000|SEP-S
http://snomed.info/id/1010278003|SEP-E
http://snomed.info/id/1010279006|SEP-E
http://snomed.info/id/1010280009|SEP-E
http://snomed.info/id/1010281008|SEP-E
http://snomed.info/id/1010573008|SEP-S
http://snomed.info/id/1010574002|SEP-S
http://snomed.info/id/1010575001|SEP-S
http://snomed.info/id/1010576000|SEP-S
http://snomed.info/id/1010577009|SEP-S
http://snomed.info/id/1010578004|SEP-S
http://snomed.info/id/1010579007|SEP-E
http://snomed.info/id/1010580005|SEP-E
http://snomed.info/id/1010581009|SEP-E
http://snomed.info/id/1010582002|SEP-E
http://snomed.info/id/1010583007|SEP-E
http://snomed.info/id/1010584001|SEP-E
http://snomed.info/id/1010585000|SEP-S
http://snomed.info/id/1010586004|SEP-E
http://snomed.info/id/1010599001|SEP-S
http://snomed.info/id/1010600003|SEP-S
http://snomed.info/id/1010601004|SEP-E
http://snomed.info/id/1010602006|SEP-E
http://snomed.info/id/10119003|SEP-S
http://snomed.info/id/1012000|SEP-S
http://snomed.info/id/10124000|SEP-S
http://snomed.info/id/10134009|SEP-S
http://snomed.info/id/10141003|SEP-S
http://snomed.info/id/10145007|SEP-S
http://snomed.info/id/10148009|SEP-E
http://snomed.info/id/10149001|-
http://snomed.info/id/1015003|SEP-S
http://snomed.info/id/10151002|SEP-S
http://snomed.info/id/10167008|SEP-E
http://snomed.info/id/1017208001|SEP-S
http://snomed.info/id/1017209009|SEP-E
http://snomed.info/id/1017210004|SEP-S
http://snomed.info/id/1017211000|SEP-S
http://snomed.info/id/1017212007|SEP-S
http://snomed.info/id/1017213002|SEP-S
http://snomed.info/id/1017224000|SEP-E
http://snomed.info/id/1017225004|SEP-E
http://snomed.info/id/1017226003|SEP-E
http://snomed.info/id/10176001|SEP-S
http://snomed.info/id/10200004|SEP-S
http://snomed.info/id/10208006|SEP-S
http://snomed.info/id/10209003|SEP-S
http://snomed.info/id/102286006|SEP-S
http://snomed.info/id/102287002|SEP-S
http://snomed.info/id/102288007|SEP-S
http://snomed.info/id/102289004|SEP-E
http://snomed.info/id/102290008|SEP-S
http://snomed.info/id/102291007|SEP-S
http://snomed.info/id/102292000|SEP-S
http://snomed.info/id/102294004|SEP-S
http://snomed.info/id/102295003|SEP-S
http://snomed.info/id/102296002|SEP-S
http://snomed.info/id/102297006|SEP-S
http://snomed.info/id/102298001|SEP-S
http://snomed.info/id/102299009|SEP-S
http://snomed.info/id/102300001|SEP-S
http://snomed.info/id/102301002|SEP-S
http://snomed.info/id/10245000|SEP-S
http://snomed.info/id/10271001|SEP-E
http://snomed.info/id/1028005|SEP-S
http://snomed.info/id/10293006|SEP-S
http://snomed.info/id/51878007|-
http://snomed.info/id/10299005|SEP-E
http://snomed.info/id/1030007|SEP-S
http://snomed.info/id/10328008|SEP-S
http://snomed.info/id/10339006|SEP-S
http://snomed.info/id/10410005|SEP-S
http://snomed.info/id/10415000|SEP-S
http://snomed.info/id/10417008|SEP-S
http://snomed.info/id/10418003|SEP-S
http://snomed.info/id/10421001|SEP-S
http://snomed.info/id/10439005|SEP-S
http://snomed.info/id/10475007|SEP-S
http://snomed.info/id/10476008|SEP-S
http://snomed.info/id/10481004|SEP-S
http://snomed.info/id/10482006|SEP-S
http://snomed.info/id/10484007|SEP-S
http://snomed.info/id/10517005|SEP-S
http://snomed.info/id/10521003|SEP-S
